[2024-08-06 23:05:27,021: INFO : main: Welcome to custom our log ]
[2024-08-09 11:16:56,571: INFO : main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2024-08-09 11:16:56,573: INFO : common: yaml file: config/config.yaml]
[2024-08-09 11:16:56,577: INFO : common: yaml file: params.yaml]
[2024-08-09 11:16:56,577: INFO : common: created directory at: artifacts]
[2024-08-09 11:16:56,578: INFO : common: created directory at: artifacts/data_ingestion]
[2024-08-09 11:16:56,578: INFO : data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-09 11:17:08,519: INFO : data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-09 11:17:09,157: INFO : main: >>>> stage Data Ingestion stage completed <<<<< 

 x=============x]
